title,snippet,label
6. Zero-carbon electricity outstrips fossil fuels in Britain across 2019,"Summary: Zero-carbon energy became Britain’s largest electricity source in 2019, delivering nearly half the country’s electrical power and for the first time o …",Business
"8. War epics, airmen and young Sopranos: essential films for 2020","1917 An epic of Lean-ian proportions is delivered in this spectacular from director and co-writer Sam Mendes, who has developed a real-life story of h …",Film
12. The most exciting movies of 2020 – horror,"The Grudge A belated English language reboot of Japanese classic Ju-On: The Grudge (2002), this stars Andrea Riseborough and Demián Bichir as detectiv …",Film
"14. US election, Brexit and China to sway the markets in 2020","After profiting from strong markets in 2019, investors are expecting 2020 to bring further rising asset prices and lively merger activity. But Brexit, …",Business
16. Clive Lewis calls for unity among Labour leadership hopefuls,Summary: The Labour leadership hopeful Clive Lewis has called for unity among would-be candidates to succeed Jeremy Corbyn as they confront the “cliff face” of …,Politics
23. Greggs launches meatless steak bake to beef up its vegan range,"Greggs, the UK’s largest bakery chain, will end speculation about its hotly anticipated new vegan snack by launching a meat-free version of its popula …",Business
26. Sadiq Khan pledges free London travel for disabled people's carers,Sadiq Khan has kickstarted his bid for a second term as London mayor by pledging free travel on the city’s transport for anyone accompanying a disable …,Politics
28. In the Line of Duty review – race-against-time cop thriller,"There’s a straight-to-video feel to this cop thriller, directed by action veteran Steven C Miller, written by Jeremy Drysdale (who scripted the indie …",Film
31. We Are from Jazz review – zany Russian musical comedy,"Only in a Woody Allen film will you hear quite as much Dixieland jazz as this. Here is We Are from Jazz, or We Are Jazzmen, the zany jazz comedy music …",Film
38. First transgender Marvel superhero coming 'very soon',The first transgender character in a Marvel movie will probably appear in a film released next year. Speaking at an event at the New York Film Academy …,Film
43. All Federico Fellini's films – ranked!,"20. The Voice of the Moon (1990) A gentle, episodic Fellini, with Roberto Benigni playing Ivo, a madcap character who travels far and wide across the …",Film
47. Sharon Choi: how we fell for Bong Joon-ho's translator,"Just when you thought Bong Joon-ho – the affable maestro of Korean cinema and now, with his class-conscious Cannes winner Parasite, champion of the pe …",Film
"48. Whitehall reforms may lead to discrimination, says union","Boris Johnson’s “seismic” Whitehall reforms, including regular exams for senior civil servants, could lead to discrimination against staff on the grou …",Politics
49. The most exciting movies of 2020 – biopics,"Respect Having wiped away her Catstoddler snot, Jennifer Hudson gives her pipes a wider airing in this Aretha Franklin biopic which – unlike other mov …",Film
53. Starmer says he wants Labour 'rebuilt ... as trusted force for good' as poll puts him leadership favourite – as it happened,"Sir Keir Starmer, the shadow Brexit secretary, has called for Labour to be rebuilt “as a trusted force for good” following its election defeat. He was …",Politics
57. Keir Starmer calls to rebuild party as 'force for good',"Summary: Sir Keir Starmer, the favourite to succeed Jeremy Corbyn as Labour leader, has called for the party to become a “trusted force for good” as up to nine …",Politics
60. Dominic Cummings calls for 'weirdos and misfits' for No 10 jobs,"Dominic Cummings, Boris Johnson’s chief adviser, has written a rambling blog calling for “weirdos and misfits with odd skills” to apply for new jobs w …",Politics
61. More women than ever working in film – but men still dominate key roles,"The number of women working in the film industry reached a historic high in 2019, but men still outnumber women four to one in key roles. Women made u …",Film
72. Golden Globes 2020: stars prepare for the return of Ricky Gervais,"Summary: Stars such as Jennifer Aniston, Jennifer Lopez and Adam Driver will be battling it out for Golden Globes this weekend as the year’s first awards show …",Film
80. 'Maybe I'm taking things too far': Trey Edward Shults on mining his family's trauma,"In 2013, the director Trey Edward Shults got a call from a hospital in Missouri; his father was dying of pancreatic cancer. They hadn’t spoken in a de …",Film
83. Three energy firms to pay £10.5m for failings over August blackout,Three energy companies will pay a combined £10.5m for failing to prevent a power cut after a lightning strike last summer that left more than 1 millio …,Business
